time;averagePm10
"2018-06-04 22:00:00";
"2018-06-05 22:00:00";
"2018-06-06 22:00:00";
"2018-06-07 22:00:00";
"2018-06-08 22:00:00";
"2018-06-09 22:00:00";
"2018-06-10 22:00:00";
"2018-06-11 22:00:00";
"2018-06-12 22:00:00";
"2018-06-13 22:00:00";
"2018-06-14 22:00:00";
"2018-06-15 22:00:00";
"2018-06-16 22:00:00";
"2018-06-17 22:00:00";
"2018-06-18 22:00:00";
"2018-06-19 22:00:00";
"2018-06-20 22:00:00";
"2018-06-21 22:00:00";
"2018-06-22 22:00:00";
"2018-06-23 22:00:00";
"2018-06-24 22:00:00";7
"2018-06-25 22:00:00";4.7507042253521
"2018-06-26 22:00:00";7.7859624739402
"2018-06-27 22:00:00";13.167477414871
"2018-06-28 22:00:00";14.617790132036
"2018-06-29 22:00:00";3.4683808200139
"2018-06-30 22:00:00";2.1292564280751
"2018-07-01 22:00:00";4.5520833333333
"2018-07-02 22:00:00";7.8743055555556
"2018-07-03 22:00:00";8.8617095205003
"2018-07-04 22:00:00";11.996527777778
"2018-07-05 22:00:00";20.347552447552
"2018-07-06 22:00:00";11.364141765115
"2018-07-07 22:00:00";8.3802816901408
"2018-07-08 22:00:00";
"2018-07-09 22:00:00";
"2018-07-10 22:00:00";18.616993464052
"2018-07-11 22:00:00";10.318276580959
"2018-07-12 22:00:00";7.6928422515636
"2018-07-13 22:00:00";10.778318276581
"2018-07-14 22:00:00";11.476719944406
"2018-07-15 22:00:00";12.87977762335
"2018-07-16 22:00:00";14.95
"2018-07-17 22:00:00";8.5740097289785
"2018-07-18 22:00:00";12.88255733148
"2018-07-19 22:00:00";20.637943015983
"2018-07-20 22:00:00";23.254343293954
"2018-07-21 22:00:00";26.351388888889
"2018-07-22 22:00:00";19.824061196106
"2018-07-23 22:00:00";14.303683113273
"2018-07-24 22:00:00";12.231944444444
"2018-07-25 22:00:00";9.1744266851981
"2018-07-26 22:00:00";11.773611111111
"2018-07-27 22:00:00";14.317919075145
"2018-07-28 22:00:00";18.122377622378
"2018-07-29 22:00:00";12.765809589993
"2018-07-30 22:00:00";12.072272411397
"2018-07-31 22:00:00";15.563585823489
"2018-08-01 22:00:00";16.122307157748
"2018-08-02 22:00:00";15.81723419041
"2018-08-03 22:00:00";18.84489228631
"2018-08-04 22:00:00";21.08255733148
"2018-08-05 22:00:00";6.4300903405142
"2018-08-06 22:00:00";6.7344444444444
"2018-08-07 22:00:00";15.022674865488
"2018-08-08 22:00:00";18.964027777778
"2018-08-11 22:00:00";10.112162162162
"2018-08-12 22:00:00";12.224669909659
"2018-08-13 22:00:00";19.209520500347
"2018-08-14 22:00:00";9.7798471160528
"2018-08-15 22:00:00";9.8894371091035
"2018-08-16 22:00:00";18.653161917999
"2018-08-17 22:00:00";24.354950115119
"2018-08-23 22:00:00";20.171469740634
"2018-08-24 22:00:00";17.971041666667
"2018-08-25 22:00:00";6.84829742877
"2018-08-26 22:00:00";8.7849200833913
"2018-08-27 22:00:00";14.560736622655
"2018-08-28 22:00:00";16.506184850591
"2018-08-29 22:00:00";19.611466296039
"2018-08-30 22:00:00";18.793537178596
"2018-08-31 22:00:00";23.844822793607
"2018-09-01 22:00:00";26.648055555556
"2018-09-02 22:00:00";21.250069541029
"2018-09-03 22:00:00";17.706254343294
"2018-09-04 22:00:00";19.443293954135
"2018-09-05 22:00:00";17.494023627519
"2018-09-09 22:00:00";13.46480218281
"2018-09-10 22:00:00";22.233981931897
"2018-09-11 22:00:00";14.293884642113
"2018-09-12 22:00:00";23.121349095967
"2018-09-13 22:00:00";26.257708333333
"2018-09-14 22:00:00";8.2113968033356
